installer,opcode,handler,engine_va,patch_len
FUN_52dc32900,E9_jmp,&LAB_52dc1710,0x005FA80A,6
FUN_52dc32900,E9_jmp,&LAB_52dc1550,0x005EF461,7
FUN_52dc32900,E9_jmp,&LAB_52dc16f0,0x005FA842,6
FUN_52dc32900,E9_jmp,&LAB_52dc1990,0x005EC418,10
FUN_52dc32900,E9_jmp,&LAB_52dc2090,0x005F54BA,10
FUN_52dc32900,E9_jmp,&LAB_52dc2040,0x005F527C,11
FUN_52dc32900,E9_jmp,&LAB_52dc2410,0x005F4773,18
FUN_52dc32900,E9_jmp,&LAB_52dc2790,0x005F9BEC,6
FUN_52dc32900,E9_jmp,&LAB_52dc2850,0x005F3A3F,7
FUN_52dc32400,E8_call,&LAB_52dc4230,0x0047518B,5
FUN_52dc32900,E9_jmp,&LAB_52dc3f50,0x0040E711,5
FUN_52dc32900,E9_jmp,&LAB_52dc3f70,0x0040E759,5
FUN_52dc32900,E9_jmp,&LAB_52dc4690,0x006C1C2D,73
FUN_52dc32900,E9_jmp,&LAB_52dc4660,0x0046EB20,61
FUN_52dc32900,E9_jmp,&LAB_52dc45f0,0x00401E3E,15
FUN_52dc32900,E9_jmp,&LAB_52dc4740,0x00413B7F,5
FUN_52dc32400,E8_call,&LAB_52dc4720,0x00413C38,6
FUN_52dc32400,E8_call,&LAB_52dc4700,0x00413CD8,6
FUN_52dc32400,E8_call,&LAB_52dc46e0,0x00413CF0,5
FUN_52dc32400,E8_call,&LAB_52dc46c0,0x0040216C,5
FUN_52dc32400,E8_call,&LAB_52dc46c0,0x00401842,5
FUN_52dc32900,E9_jmp,&LAB_52dc3d80,0x00412661,5
FUN_52dc32900,E9_jmp,&LAB_52dc3d70,0x004126A7,5
FUN_52dc32400,E8_call,FUN_52dc37a0,0x004822C1,5
FUN_52dc32400,E8_call,&LAB_52dc3750,0x0081DEC5,5
FUN_52dc32900,E9_jmp,FUN_52dc5ae0,0x007AB554,7
FUN_52dc32400,E8_call,FUN_52dc4f60,0x0078A300,5
FUN_52dc32400,E8_call,&LAB_52dc57c0,0x0072FF14,5
FUN_52dc32900,E9_jmp,FUN_52dc6cc0,0x007ABAA5,7
FUN_52dc32900,E9_jmp,FUN_52dc6be0,0x007AC1A0,5
FUN_52dc32900,E9_jmp,&LAB_52dc6aa0,0x0071D79B,8
FUN_52dc32900,E9_jmp,&LAB_52dc6a80,0x0071D7F5,8
FUN_52dc32900,E9_jmp,&LAB_52dc6a60,0x0072CD22,5
FUN_52dc32900,E9_jmp,&LAB_52dc6a40,0x0073016A,5
FUN_52dc32900,E9_jmp,&LAB_52dc6a20,0x00730542,8
FUN_52dc32900,E9_jmp,&LAB_52dc6a00,0x007306E8,8
FUN_52dc32900,E9_jmp,&LAB_52dceb40,0x0073A0F6,7
FUN_52dc32900,E9_jmp,&LAB_52dceb90,0x0079BD1C,41
FUN_52dc32900,E9_jmp,&LAB_52dcee10,0x00798441,7
FUN_52dc32900,E9_jmp,&LAB_52dcee00,0x0079B030,7
FUN_52dc32900,E9_jmp,&LAB_52dcedf0,0x007983E7,7
FUN_52dc32900,E9_jmp,&LAB_52dcede0,0x0079AFAA,7
FUN_52dc32900,E9_jmp,&LAB_52dcedd0,0x0079AEF3,7
FUN_52dc32900,E9_jmp,&LAB_52dcedc0,0x0079A992,7
FUN_52dc32400,E8_call,FUN_52dce9e0,0x0079809A,5
FUN_52dc32900,E9_jmp,&LAB_52dcf070,0x00731E4C,7
FUN_52dc32900,E9_jmp,&LAB_52dcf030,0x00731BB9,6
FUN_52dc32900,E9_jmp,&LAB_52dd0410,0x0071AAD1,12
FUN_52dc32900,E9_jmp,&LAB_52dd03e0,0x00689343,6
FUN_52dc32400,E8_call,FUN_52dd0370,0x007925A1,5
FUN_52dc32400,E8_call,FUN_52dd0370,0x00790CED,5
FUN_52dc32400,E8_call,&LAB_52dd1100,0x00736E47,10
FUN_52dc32400,E8_call,&LAB_52dd10f0,0x00736E61,5
FUN_52dc32400,E8_call,&LAB_52dd1100,0x00736F4B,10
FUN_52dc32400,E8_call,&LAB_52dd10f0,0x00736F68,5
FUN_52dc32400,E8_call,&LAB_52dd1100,0x00736B4F,10
FUN_52dc32400,E8_call,&LAB_52dd10f0,0x00736B69,5
FUN_52dc32400,E8_call,&LAB_52dd1100,0x00736C53,10
FUN_52dc32400,E8_call,&LAB_52dd10f0,0x00736C70,5
FUN_52dc32900,E9_jmp,&LAB_52dd1200,0x007C0C6C,6
FUN_52dc32900,E9_jmp,&LAB_52dd11e0,0x007C0EF8,6
FUN_52dc32900,E9_jmp,&LAB_52dd11c0,0x007C09FC,6
FUN_52dc32900,E9_jmp,&LAB_52dd11a0,0x007C0768,6
FUN_52dc32900,E9_jmp,&LAB_52dd1180,0x007C04F4,6
FUN_52dc32900,E9_jmp,&LAB_52dd1230,0x00687D1A,6
FUN_52dc32900,E9_jmp,&LAB_52dd1290,0x006CA548,8
FUN_52dc32400,E8_call,FUN_52dd4f70,0x0066E001,5
FUN_52dc32400,E8_call,FUN_52dd19e0,0x0078237F,5
FUN_52dc32900,E9_jmp,FUN_52dd12e0,0x00708238,6
FUN_52dc32400,E8_call,FUN_52dd1d90,0x0043E783,5
FUN_52dc32900,E9_jmp,&LAB_52dd1df0,0x0068AA41,6
FUN_52dc32400,E8_call,FUN_52dd2a90,0x0083A948,5
FUN_52dc32400,E8_call,FUN_52dd2a30,0x007537FC,5
FUN_52dc32400,E8_call,FUN_52dd2a10,0x007915E1,5
FUN_52dc32400,E8_call,FUN_52dd2880,0x00790E16,5
FUN_52dc32400,E8_call,FUN_52dd40f0,0x0074B6DD,5
FUN_52dc32400,E8_call,&LAB_52dd4050,0x0074B5A7,5
FUN_52dc32900,E9_jmp,&LAB_52dd4220,0x0083EE2A,9
FUN_52dc32900,E9_jmp,&LAB_52dd41c0,0x0083EE54,0
FUN_52dc32400,E8_call,FUN_52dd5040,0x005C9BAB,5
FUN_52dc32400,E8_call,FUN_52dd6370,0x006CBA28,5
FUN_52dc32400,E8_call,FUN_52dd63b0,0x004DD734,5
FUN_52dc32400,E8_call,FUN_52dd63b0,0x004DC211,5
FUN_52dc32400,E8_call,FUN_52de5f60,0x0077FDFD,5
FUN_52dc32400,E8_call,FUN_52de5e60,0x007BCCDA,5
FUN_52dc32400,E8_call,FUN_52de5e60,0x007BD3A0,5
