installer,opcode,handler,engine_va,patch_len,handler_prior_va,handler_rva,handler_current_va
FUN_52dc32400,E8_call,FUN_52db4540,0x0057BA35,5,0x52DB4540,0x009F6500,0x78E76500
FUN_52dc32400,E8_call,FUN_52db43c0,0x0057D1DD,5,0x52DB43C0,0x009F6380,0x78E76380
FUN_52dc32400,E8_call,FUN_52db4540,0x0057A041,5,0x52DB4540,0x009F6500,0x78E76500
FUN_52dc32400,E8_call,FUN_52db4540,0x0057A04C,5,0x52DB4540,0x009F6500,0x78E76500
FUN_52dc32400,E8_call,FUN_52db4540,0x0057AEB5,5,0x52DB4540,0x009F6500,0x78E76500
FUN_52dc32400,E8_call,FUN_52db4520,0x00573FC8,5,0x52DB4520,0x009F64E0,0x78E764E0
FUN_52dc32400,E8_call,FUN_52db4520,0x00573F7D,5,0x52DB4520,0x009F64E0,0x78E764E0
FUN_52dc32400,E8_call,FUN_52db4560,0x005768C5,5,0x52DB4560,0x009F6520,0x78E76520
FUN_52dc32400,E8_call,FUN_52db4560,0x005768F6,5,0x52DB4560,0x009F6520,0x78E76520
FUN_52dc32400,E8_call,FUN_52db4560,0x0056A85F,5,0x52DB4560,0x009F6520,0x78E76520
FUN_52dc32400,E8_call,FUN_52db4520,0x0056CE67,5,0x52DB4520,0x009F64E0,0x78E764E0
FUN_52dc32400,E8_call,FUN_52db4520,0x0056CE84,0,0x52DB4520,0x009F64E0,0x78E764E0
FUN_52dc32400,E8_call,FUN_52db4560,0x0056B1FB,5,0x52DB4560,0x009F6520,0x78E76520
FUN_52dc32400,E8_call,FUN_52db4560,0x0056B20A,5,0x52DB4560,0x009F6520,0x78E76520
FUN_52dc32900,E9_jmp,FUN_52db4bf0,0x0077A684,18,0x52DB4BF0,0x009F6BB0,0x78E76BB0
FUN_52dc32900,E9_jmp,FUN_52db4bd0,0x0077A698,25,0x52DB4BD0,0x009F6B90,0x78E76B90
FUN_52dc32900,E9_jmp,FUN_52db4bb0,0x0077A6B4,21,0x52DB4BB0,0x009F6B70,0x78E76B70
FUN_52dc32900,E9_jmp,FUN_52db4b90,0x0077A6CC,25,0x52DB4B90,0x009F6B50,0x78E76B50
FUN_52dc32900,E9_jmp,&LAB_52db5410,0x00624503,15,0x52DB5410,0x009F73D0,0x78E773D0
FUN_52dc32900,E9_jmp,&LAB_52db5440,0x0065D8CB,9,0x52DB5440,0x009F7400,0x78E77400
FUN_52dc32400,E8_call,FUN_52db5e80,0x00529CFB,5,0x52DB5E80,0x009F7E40,0x78E77E40
FUN_52dc32400,E8_call,FUN_52db5e80,0x00529427,5,0x52DB5E80,0x009F7E40,0x78E77E40
FUN_52dc32400,E8_call,&LAB_52db5e10,0x005284EA,5,0x52DB5E10,0x009F7DD0,0x78E77DD0
FUN_52dc32400,E8_call,&LAB_52db5e00,0x00528D2E,5,0x52DB5E00,0x009F7DC0,0x78E77DC0
FUN_52dc32900,E9_jmp,&LAB_52db8b50,0x005D2B98,5,0x52DB8B50,0x009FAB10,0x78E7AB10
FUN_52dc32900,E9_jmp,&LAB_52db8b30,0x0072D1CD,5,0x52DB8B30,0x009FAAF0,0x78E7AAF0
FUN_52dc32900,E9_jmp,&LAB_52db8af0,0x00726DAE,5,0x52DB8AF0,0x009FAAB0,0x78E7AAB0
FUN_52dc32900,E9_jmp,&LAB_52db8ad0,0x00726DA1,5,0x52DB8AD0,0x009FAA90,0x78E7AA90
FUN_52dc32900,E9_jmp,&LAB_52db8ab0,0x00726D81,5,0x52DB8AB0,0x009FAA70,0x78E7AA70
FUN_52dc32900,E9_jmp,&LAB_52db8a90,0x00726D64,5,0x52DB8A90,0x009FAA50,0x78E7AA50
FUN_52dc32900,E9_jmp,&LAB_52db8a70,0x00726D76,5,0x52DB8A70,0x009FAA30,0x78E7AA30
FUN_52dc32900,E9_jmp,&LAB_52db8a30,0x0072D30B,6,0x52DB8A30,0x009FA9F0,0x78E7A9F0
FUN_52dc32900,E9_jmp,&LAB_52db8a00,0x0072D304,5,0x52DB8A00,0x009FA9C0,0x78E7A9C0
FUN_52dc32900,E9_jmp,&LAB_52db89c0,0x0072D34E,5,0x52DB89C0,0x009FA980,0x78E7A980
FUN_52dc32900,E9_jmp,FUN_52db8ec0,0x007A60DC,14,0x52DB8EC0,0x009FAE80,0x78E7AE80
FUN_52dc32400,E8_call,FUN_52db8ff0,0x005E4DA8,5,0x52DB8FF0,0x009FAFB0,0x78E7AFB0
FUN_52dc32400,E8_call,FUN_52db8fc0,0x005E5510,5,0x52DB8FC0,0x009FAF80,0x78E7AF80
FUN_52dc32900,E9_jmp,&LAB_52db8f20,0x0070AE4F,26,0x52DB8F20,0x009FAEE0,0x78E7AEE0
FUN_52dc32400,E8_call,FUN_52db9230,0x007862F4,5,0x52DB9230,0x009FB1F0,0x78E7B1F0
FUN_52dc32400,E8_call,FUN_52db9200,0x0078635F,5,0x52DB9200,0x009FB1C0,0x78E7B1C0
FUN_52dc32400,E8_call,FUN_52db91a0,0x005E84FD,5,0x52DB91A0,0x009FB160,0x78E7B160
FUN_52dc32900,E9_jmp,&LAB_52db9140,0x005E8773,10,0x52DB9140,0x009FB100,0x78E7B100
FUN_52dc32400,E8_call,FUN_52db9080,0x00785169,5,0x52DB9080,0x009FB040,0x78E7B040
FUN_52dc32400,E8_call,FUN_52db9060,0x0070ADE1,5,0x52DB9060,0x009FB020,0x78E7B020
FUN_52dc32400,E8_call,FUN_52db90b0,0x0078515E,5,0x52DB90B0,0x009FB070,0x78E7B070
FUN_52dc32400,E8_call,FUN_52db90b0,0x0070AD5C,22,0x52DB90B0,0x009FB070,0x78E7B070
FUN_52dc32400,E8_call,FUN_52db90b0,0x0070F555,22,0x52DB90B0,0x009FB070,0x78E7B070
FUN_52dc32400,E8_call,FUN_52db90d0,0x0070AD18,5,0x52DB90D0,0x009FB090,0x78E7B090
FUN_52dc32400,E8_call,FUN_52db98c0,0x005886F7,5,0x52DB98C0,0x009FB880,0x78E7B880
FUN_52dc32900,E9_jmp,&LAB_52dba3e0,0x006B14F4,5,0x52DBA3E0,0x009FC3A0,0x78E7C3A0
FUN_52dc32900,E9_jmp,&LAB_52dbcad0,0x00778CC9,6,0x52DBCAD0,0x009FEA90,0x78E7EA90
FUN_52dc32900,E9_jmp,&LAB_52dbca20,0x00775927,5,0x52DBCA20,0x009FE9E0,0x78E7E9E0
FUN_52dc32900,E9_jmp,&LAB_52dbc9f0,0x0077597D,8,0x52DBC9F0,0x009FE9B0,0x78E7E9B0
FUN_52dc32900,E9_jmp,&LAB_52dbc9d0,0x00775657,5,0x52DBC9D0,0x009FE990,0x78E7E990
FUN_52dc32900,E9_jmp,&LAB_52dbc9a0,0x007757DB,8,0x52DBC9A0,0x009FE960,0x78E7E960
